I can easily log-in and log-out my Canvas account. (Please write your views relating your answer above.),I can access my course using the mobile Canvas app. (Please write your views about this relating to your answer above.),I can access my Canvas account using the available computers in JRU. (Please write your views about this relating to your answer above.),I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories. (Please write your views about this relating to your answer above.),I can easily get help when I have problems with my Canvas account. (Please write your views about this relating to your answer above.),I can access my Canvas account outside JRU. (Please write your views about this relating to your answer above.),I can clearly understand the lessons on my Canvas modules. (Please write your views about this relating to your answer above.),I recognize that the modules in my course are well organized. (Please write your views about this relating to your answer above.),I can easily manage the navigation of the courses through the desktop version. .1,I can easily manage the navigation of the courses through the mobile app. (Please write your views about this relating to your answer above.),I notice that course materials on Canvas have connection with the face to face (classroom) lesson content. (Please write your views about this relating to your answer above.),I understand the lessons better with the help of course materials in Canvas. (Please write your views about this relating to your answer above.),Canvas course materials make me interested. (Please write your views about this relating to your answer above.),"The course materials on Canvas helped me prepare for: Face to face discussions, quizzes, major exams, assignments, forums, etc. (Please write your views about this relating to your answer above.)",My instructor knows how to use Canvas. (Please write your views about this relating to your answer above.),My instructor demonstrated mastery of the subject matter. (Please write your views about this relating to your answer above.),My instructor encourages me to use Canvas. (Please write your views about this relating to your answer above.),"Canvas has made it easy for me to: communicate with my instructor, receive class announcements, share ideas on group discussions","I can answer the assessment materials (quiz, exam) posted in Canvas. (Please write your views about this relating to your answer above.)","I find the course materials on Canvas aligned with the: quizzes, major exams, assignments, forums, etc.) (Please write your views about this relating to your answer above.)",I have been give enough time to accomplish the activities on Canvas. (Please write your views about this relating to your answer above.),POS
neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
problems log,problem,problem,problem,problem,problem,problem,problem,problem,problem,problem,problem,problem,problem,problem,problem,problem,problem,problem,problem,problem,problem
problems,problems,problems,problems,problems,problems,problems,problems,problems,problems,problems,problems,problems,problems,problems,problems,problems,problems,problems,problems,yes problems,yes problem
dont problem canvas,easily login canvas app mobile app,access canvas account using available computers jru,dont problem internet connection,dont problem,dont problem,dont problem,dont problem,dont problem,dont problem,dont problem,dont problem,dont problem,dont problem,dont problem,dont problem,dont problem,dont problem,dont problem,dont problem,dont problem,dont problem
problems,access course,problem accessing canvas,dont issue,problem,problem,understand,easy recognize,manage,manage,noticed course material,understand lesson,im interested,course materials helped,yes teach us,yes demonstrate,encourage,communicate easy,problem,problem,problem,problem
problems logging,problems,sometimes trusted device,problems every thing fine,go help desk,yes course,im alone,every things fine,user friendly,user friendly,yes course,yes course,yah yah yah xd,yes course,navigate well,sometimes,provoke use,1 tap,easy access inside outside university,yes course,yes course,yes course
access problem,problem accessing course canvas app,problem accessing canvas jru computers,issue,fixed immediately course canvas cannot found,cant easily access outside jru,undestand,well organized,dashboard big help locate courses,problems,problems,understand,makes want learn,big help study,modules canvas,learn topic easily,teachers always says study home purpose canvas,send messages,problem,helps prepare examinations,give week deadline activity,give week deadline activity
good,application canvas,good,thats good thing good,yes easily took long,definitely yes,lessons well organized,thats said well organized well managed,yes fast,applications canvas due need data wifi,thats help much,face face,much knowledge,help raise hands,important know,good sometimes talked fast,always,yes really helps us,modules stated,yes,deadline every activities able us late,deadline every activity able us late
dont problems logging,easily know course given,yes computers higher support system,yes internet connection good laboratories,yes dept jru helps us,yes long internet,yes modules specified,sometimes yes sometimes,yes user friendly,yes indicates courses,yes materials canvas used face face,yes makes easy soft copy,user friendly type,yes canvas indicates due date notify something neede something updated,yes use easily,good teaching,yes every materials canvass,yes different kind forums use,yes still open,yes related course,sometimes know due date finish time,sometimes know due date finish time
