index,Strongly Agree,Agree,Disagree,Strongly Disagree,Numerical Value,Sentiment Score
I can easily log-in and log-out my Canvas account.,124,12,1,3,3.84,0.14882642857142875
I can access my course using the mobile Canvas app. ,112,17,5,6,3.68,0.1407435714285715
I can access my Canvas account using the available computers in JRU.,124,11,2,3,3.83,0.14149928571428574
I can easily get help when I have problems with my Canvas account.,103,18,8,11,3.52,-0.007862857142857145
I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories.,114,12,8,6,3.67,0.2446035714285716
I can access my Canvas account outside JRU. ,122,11,6,1,3.81,0.15510500000000013
I can clearly understand the lessons on my Canvas modules. ,105,21,9,5,3.61,0.22899000000000025
I recognize that the modules in my course are well organized.,116,19,3,2,3.78,0.2420350000000001
I can easily manage the navigation of the courses through the desktop version. ,121,16,0,3,3.82,0.28360214285714286
I can easily manage the navigation of the courses through the mobile app.,103,18,10,9,3.54,0.21079785714285734
I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,107,20,5,8,3.61,0.17913500000000018
I understand the lessons better with the help of course materials in Canvas. ,110,19,5,6,3.66,0.33555214285714263
Canvas course materials make me interested.,109,22,2,7,3.66,0.3411871428571426
The course materials on Canvas helped me prepare for: [Face to Face discussions],113,21,1,5,3.73,0.25452571428571424
My instructor knows how to use Canvas.,121,16,3,0,3.84,0.21758357142857168
My instructor demonstrated mastery of the subject matter.,115,19,4,2,3.76,0.25899000000000016
My instructor encourages me to use Canvas.,124,11,2,3,3.83,0.28422214285714276
Canvas has made it easy for me to: [Communicate with my instructor],106,15,10,9,3.56,0.2860092857142857
"I can answer the assessment materials (quiz, exam) posted in Canvas.",124,7,4,5,3.79,0.21571642857142878
I find the course materials on Canvas aligned with the: [Quizzes],120,9,6,5,3.74,0.1809285714285716
I have been give enough time to accomplish the activities on Canvas.,107,17,5,11,3.57,0.19645142857142872
