,index,Strongly Agree,Agree,Disagree,Strongly Disagree,Numerical Value
0,I can easily log-in and log-out my Canvas account.,123,12,1,3,3.83
1,I can access my course using the mobile Canvas app. ,111,17,5,6,3.68
2,I can access my Canvas account using the available computers in JRU.,123,11,2,3,3.83
3,I can easily get help when I have problems with my Canvas account.,102,18,8,11,3.52
4,I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories.,113,12,8,6,3.67
5,I can access my Canvas account outside JRU. ,121,11,6,1,3.81
6,I can clearly understand the lessons on my Canvas modules. ,104,21,9,5,3.61
7,I recognize that the modules in my course are well organized.,115,19,3,2,3.78
8,I can easily manage the navigation of the courses through the desktop version. ,120,16,0,3,3.82
9,I can easily manage the navigation of the courses through the mobile app.,102,18,10,9,3.53
10,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,106,20,5,8,3.61
11,I understand the lessons better with the help of course materials in Canvas. ,109,19,5,6,3.66
12,Canvas course materials make me interested.,108,22,2,7,3.66
13,The course materials on Canvas helped me prepare for: [Face to Face discussions],112,21,1,5,3.73
14,The course materials on Canvas helped me prepare for: [Quizzes],116,16,3,4,3.76
15,The course materials on Canvas helped me prepare for: [Prelim/Mid-term/Final Exam],119,13,3,4,3.78
16,"The course materials on Canvas helped me prepare for: [Other Tasks (Assignments, Forums, etc.)]",115,16,4,4,3.74
17,My instructor knows how to use Canvas.,120,16,3,0,3.84
18,My instructor demonstrated mastery of the subject matter.,114,19,4,2,3.76
19,My instructor encourages me to use Canvas.,123,11,2,3,3.83
20,Canvas has made it easy for me to: [Communicate with my instructor],105,15,10,9,3.55
21,Canvas has made it easy for me to: [Receive class announcements],124,9,3,3,3.83
22,Canvas has made it easy for me to: [Share ideas on group discussions],110,17,7,5,3.67
23,"I can answer the assessment materials (quiz, exam) posted in Canvas.",123,7,4,5,3.78
24,I find the course materials on Canvas aligned with the: [Quizzes],119,9,6,5,3.74
25,"I find the course materials on Canvas aligned with the: [Major (Prelim, Mideterm, Final) Exam]",118,13,4,4,3.76
26,"I find the course materials on Canvas aligned with the: [Other tasks (Assignements, Forums, etc.)]",119,12,5,3,3.78
27,I have been give enough time to accomplish the activities on Canvas.,106,17,5,11,3.57
