Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,SUBJECT:,SECTION:,COURSE SCHEDULE,I can easily log-in and log-out my Canvas account.,I can access my course using the mobile Canvas app.,I can access my Canvas account using the available computers in JRU.,I have no issues accessing my Canvas account using JRU's wifi connection.,I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories.,I can easily get help when I have problems with my Canvas account.,I can access my Canvas account outside JRU.,I can clearly understand the lessons on my Canvas modules.,I recognize that the modules in my course are well organized.,I can easily manage the navigation of the courses through the desktop version.,I can easily manage the navigation of the courses through the mobile app.,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,I understand the lessons better with the help of course materials in Canvas.,Canvas course materials make me interested.,The course materials on Canvas helped me prepare for:,,,,My instructor knows how to use Canvas.,My instructor demonstrated mastery of the subject matter.,My instructor encourages me to use Canvas.,Canvas has made it easy for me to:,,,"I can answer the assessment materials (quiz, exam) posted in Canvas.",I find the course materials on Canvas aligned with the:,,,I have been give enough time to accomplish the activities on Canvas.,What I like best in Canvas is/are:,What I like least in Canvas is/are:,I would like to suggest:
,,,,,,,,,Response,Open-Ended Response,Time,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,a. Face to Face discussions,b. Quizzes,c. Prelim/Mid-term/Final Exam,d. Other Tasks,Response,Response,Response,a.  Communicate with my instructor,b. Receive class announcements,c. Share ideas on group discussions,Response,a. Quizzes,"b. Major (Prelim, Mideterm, Final) Exam",c. Other tasks,Response,Open-Ended Response,Open-Ended Response,Open-Ended Response
11058234060,247032279,10/11/2019 15:05,10/11/2019 15:07,180.190.94.50,,,,1,ENG C101- Purposive Communication,BSN 101,1:30 AM,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
11054997536,247032279,10/10/2019 08:43,10/10/2019 08:46,114.108.241.58,,,,2,FOS C101 - Strategies for Academic Success in College,AB-PSY 101-P,7:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,This app. is very convenient and accessible.,,
11050170583,247032279,10/08/2019 20:16,10/08/2019 20:18,180.190.58.23,,,,3,FOS C101 - Strategies for Academic Success in College,101T,9:00 AM,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,The announcements and take home quizes,Hard to login sometimes,
11049771452,247032279,10/08/2019 16:24,10/08/2019 16:27,114.108.241.58,,,,4,FOS C101 - Strategies for Academic Success in College,BSN1O1,2:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,EASY TO ACCESS,I CAN ACCESS EVEN IF IM OUTSIDE ,
11049728568,247032279,10/08/2019 15:55,10/08/2019 16:01,114.108.241.58,,,,5,HIS C301 - Life and Works of Rizal,202r,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,to advance reading,advance reading  ,none
11049642775,247032279,10/08/2019 14:53,10/08/2019 14:58,114.108.241.58,,,,6,PSY C101 - Understanding the Self,103m,4:00 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,answer the following assignment,,remove
11049458700,247032279,10/08/2019 12:11,10/08/2019 12:16,114.108.241.58,,,,7,HIS C301 - Life and Works of Rizal,102TM,1:30 PM,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Giving enough time to finish my activities or assignment,They give shorter time when answering quizzes,Remove the time when answering quizzes or exam to avoid panicking
11046876300,247032279,10/07/2019 17:27,10/07/2019 17:29,112.206.195.72,,,,8,NST C101- National Service Training Program 1,NST 101I,12:30 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Simple,"Nothing really, canvas is pretty neat",Better effects i guess
11046782266,247032279,10/07/2019 16:24,10/07/2019 16:28,112.206.202.115,,,,9,NST C101- National Service Training Program 1,103M,8:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Easy access,N/A,N/A
11046655818,247032279,10/07/2019 14:55,10/07/2019 14:56,114.108.241.58,,,,10,NST C101- National Service Training Program 1,102-K,8:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
11046648002,247032279,10/07/2019 14:48,10/07/2019 14:50,114.108.241.58,,,,11,PSY C101 - Understanding the Self,103k,4:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,accessible ,i can advance read,nothing
11046620360,247032279,10/07/2019 14:24,10/07/2019 14:27,114.108.241.58,,,,12,PSY C101 - Understanding the Self,103-K,4:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
11046528026,247032279,10/07/2019 12:48,10/07/2019 12:51,112.201.169.23,,,,13,PHI C102- Ethics,BSTM1-1,10:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
