Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,SUBJECT:,SECTION:,COURSE SCHEDULE,I can easily log-in and log-out my Canvas account.,I can access my course using the mobile Canvas app.,I can access my Canvas account using the available computers in JRU.,I have no issues accessing my Canvas account using JRU's wifi connection.,I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories.,I can easily get help when I have problems with my Canvas account.,I can access my Canvas account outside JRU.,I can clearly understand the lessons on my Canvas modules.,I recognize that the modules in my course are well organized.,I can easily manage the navigation of the courses through the desktop version.,I can easily manage the navigation of the courses through the mobile app.,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,I understand the lessons better with the help of course materials in Canvas.,Canvas course materials make me interested.,The course materials on Canvas helped me prepare for:,,,,My instructor knows how to use Canvas.,My instructor demonstrated mastery of the subject matter.,My instructor encourages me to use Canvas.,Canvas has made it easy for me to:,,,"I can answer the assessment materials (quiz, exam) posted in Canvas.",I find the course materials on Canvas aligned with the:,,,I have been give enough time to accomplish the activities on Canvas.,What I like best in Canvas is/are:,What I like least in Canvas is/are:,I would like to suggest:
,,,,,,,,,Response,Open-Ended Response,Time,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,a. Face to Face discussions,b. Quizzes,c. Prelim/Mid-term/Final Exam,d. Other Tasks,Response,Response,Response,a.  Communicate with my instructor,b. Receive class announcements,c. Share ideas on group discussions,Response,a. Quizzes,"b. Major (Prelim, Mideterm, Final) Exam",c. Other tasks,Response,Open-Ended Response,Open-Ended Response,Open-Ended Response
10903810136,241444183,2019-08-05 13:08:05,2019-08-05 13:09:14,110.54.221.155,,,,1,HIS C101- Readings in Philippine History,BSA 101A,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
10903772185,241444183,2019-08-05 12:21:58,2019-08-05 12:25:27,120.29.84.92,,,,2,"NSC C202 - Science, Technology and Society",202G,01:30 PM,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,,
10903769108,241444183,2019-08-05 12:17:51,2019-08-05 12:23:57,175.176.32.191,,,,3,FOS C101 - Strategies for Academic Success in College,301GA,12:00 PM,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I'm getting notified through sms and emails,it doesn't support some versions of browser specially Vivo browser,To have canvas be supported for any type of browser
10903768751,241444183,2019-08-05 12:17:26,2019-08-05 12:25:00,114.198.144.38,,,,4,HIS C101- Readings in Philippine History,103R,12:18 PM,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,,,
10903727432,241444183,2019-08-05 11:28:47,2019-08-05 11:31:45,114.108.241.58,,,,5,"NSC C202 - Science, Technology and Society",202G,01:30 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,n/a,n/a,n/a
10903684022,241444183,2019-08-05 10:39:49,2019-08-05 10:43:39,114.108.241.58,,,,6,ENG C101- Purposive Communication,104I,09:00 AM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,N/A,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,accessible,deadline,orient some professors regarding the use of canvas
10903662799,241444183,2019-08-05 10:16:53,2019-08-05 10:21:19,120.29.118.129,,,,7,NST C101- National Service Training Program 1,103k,08:30 AM,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,I can read in advance the modules and other stuff in my canvas that we’re going to discuss face-to-face.,There's no real time chat that can be use to communicate directly with my classmates or professors .,Put real time chat. Improve. :))
10903563176,241444183,2019-08-05 08:28:02,2019-08-05 08:32:56,114.198.144.38,,,,8,ENG C101- Purposive Communication,BSA 105A,07:30 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,I can manage my time,I can manage my time,I like to suggest is
10903523257,241444183,2019-08-05 07:38:09,2019-08-05 07:42:05,110.54.221.233,,,,9,ENG C101- Purposive Communication,101M,12:00 PM,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,N/a,N/a,N/a
