,SUBJECT:,SECTION:,COURSE SCHEDULE,I can easily log-in and log-out my Canvas account.,I can access my course using the mobile Canvas app.,I can access my Canvas account using the available computers in JRU.,I have no issues accessing my Canvas account using JRU's wifi connection.,I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories.,I can easily get help when I have problems with my Canvas account.,I can access my Canvas account outside JRU.,I can clearly understand the lessons on my Canvas modules.,I recognize that the modules in my course are well organized.,I can easily manage the navigation of the courses through the desktop version.,I can easily manage the navigation of the courses through the mobile app.,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,I understand the lessons better with the help of course materials in Canvas.,Canvas course materials make me interested.,The course materials on Canvas helped me prepare for: Face to Face discussions,The course materials on Canvas helped me prepare for: Quizzes,The course materials on Canvas helped me prepare for: Prelim/Mid-term/Final Exam,The course materials on Canvas helped me prepare for: Other Tasks,My instructor knows how to use Canvas.,My instructor demonstrated mastery of the subject matter.,My instructor encourages me to use Canvas.,Canvas has made it easy for me to: Communicate with my instructor,Canvas has made it easy for me to: Receive class announcements,Canvas has made it easy for me to: Share ideas on group discussions,"I can answer the assessment materials (quiz, exam) posted in Canvas.",I find the course materials on Canvas aligned with the: Quizzes,"I find the course materials on Canvas aligned with the: Major (Prelim, Mideterm, Final) Exam",I find the course materials on Canvas aligned with the: Other tasks,I have been give enough time to accomplish the activities on Canvas.,What I like best in Canvas is/are:,What I like least in Canvas is/are:,I would like to suggest:
1,HIS C101- Readings in Philippine History,BSA 101A,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
4,HIS C101- Readings in Philippine History,103R,12:18 PM,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,,,
16,HIS C101- Readings in Philippine History,101K,01:30 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,I can easily answer my quizzes and other forum that I need to answer,Some announcement are not showing up in my notification,Create a power point moduel not a word and summary the lesson in more important details
24,HIS C101- Readings in Philippine History,102-F,12:00 PM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,It can di at home,Some of the instructions are not fully understandable,To be more active at face to face and lessen the works at the canvas. Were just doing essay in here answering what have we read but i didn’t understand full. I would prepare for face to face
30,HIS C101- Readings in Philippine History,101M,10:30 AM,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,give me some extra grades in specific  course.,,
36,HIS C101- Readings in Philippine History,104A,03:00 PM,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Organized and easy to access,"Time limit, Too many activities",Longer time limit
37,HIS C101- Readings in Philippine History,101LM,12:00 PM,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,I can study home,"Always have an error that cause students cannot pass their activities, exam etc. Some attachment cant be sent some forum can't be answered.","I will suggest that their would be an assessment again to all student who has a problem in their canvass because of the errors that lead them not to pass their activities cause it will affect all our grades. I hope those error  that will be list in the assessment if there will be,resolve and fix well so that no future problems will be done."
48,HIS C101- Readings in Philippine History,102F,12:1 PM,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,,,
50,HIS C101- Readings in Philippine History,101M,10:30 AM,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,I like in canvas is advance reading in my subject,Sometimes i can't pass the activity because i didn't internet connection,I suggest to use it every weekends or exams
57,HIS C101- Readings in Philippine History,101s,09:00 AM,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,
