,I can easily log-in and log-out my Canvas account.,I can easily log-in and log-out my Canvas account. (Please write your views relating your answer above.),I can access my course using the mobile Canvas app. ,I can access my course using the mobile Canvas app. (Please write your views about this relating to your answer above.),I can access my course using the mobile Canvas app. .1,I can access my course using the mobile Canvas app. (Please write your views about this relating to your answer above.).1,I can access my Canvas account using the available computers in JRU.,I can access my Canvas account using the available computers in JRU. (Please write your views about this relating to your answer above.),I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories. ,I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories. (Please write your views about this relating to your answer above.),I can easily get help when I have problems with my Canvas account.,I can easily get help when I have problems with my Canvas account. (Please write your views about this relating to your answer above.),I can access my Canvas account outside JRU. ,I can access my Canvas account outside JRU. (Please write your views about this relating to your answer above.),I can clearly understand the lessons on my Canvas modules. ,I can clearly understand the lessons on my Canvas modules. (Please write your views about this relating to your answer above.),I recognize that the modules in my course are well organized.,I recognize that the modules in my course are well organized. (Please write your views about this relating to your answer above.),I can easily manage the navigation of the courses through the desktop version. ,I can easily manage the navigation of the courses through the desktop version. .1,I can easily manage the navigation of the courses through the mobile app.,I can easily manage the navigation of the courses through the mobile app. (Please write your views about this relating to your answer above.),I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content. (Please write your views about this relating to your answer above.),I understand the lessons better with the help of course materials in Canvas. ,I understand the lessons better with the help of course materials in Canvas. (Please write your views about this relating to your answer above.),Canvas course materials make me interested.,Canvas course materials make me interested. (Please write your views about this relating to your answer above.),The course materials on Canvas helped me prepare for: [Face to Face discussions],The course materials on Canvas helped me prepare for: [Quizzes],The course materials on Canvas helped me prepare for: [Prelim/Mid-term/Final Exam],"The course materials on Canvas helped me prepare for: [Other Tasks (Assignments, Forums, etc.)]","The course materials on Canvas helped me prepare for: Face to face discussions, quizzes, major exams, assignments, forums, etc. (Please write your views about this relating to your answer above.)",My instructor knows how to use Canvas.,My instructor knows how to use Canvas. (Please write your views about this relating to your answer above.),My instructor demonstrated mastery of the subject matter.,My instructor demonstrated mastery of the subject matter. (Please write your views about this relating to your answer above.),My instructor encourages me to use Canvas.,My instructor encourages me to use Canvas. (Please write your views about this relating to your answer above.),Canvas has made it easy for me to: [Communicate with my instructor],Canvas has made it easy for me to: [Receive class announcements],Canvas has made it easy for me to: [Share ideas on group discussions],"Canvas has made it easy for me to: communicate with my instructor, receive class announcements, share ideas on group discussions","I can answer the assessment materials (quiz, exam) posted in Canvas.","I can answer the assessment materials (quiz, exam) posted in Canvas. (Please write your views about this relating to your answer above.)",I find the course materials on Canvas aligned with the: [Quizzes],"I find the course materials on Canvas aligned with the: [Major (Prelim, Mideterm, Final) Exam]","I find the course materials on Canvas aligned with the: [Other tasks (Assignements, Forums, etc.)]","I find the course materials on Canvas aligned with the: quizzes, major exams, assignments, forums, etc.) (Please write your views about this relating to your answer above.)",I have been give enough time to accomplish the activities on Canvas.,I have been give enough time to accomplish the activities on Canvas. (Please write your views about this relating to your answer above.)
0,Strongly Agree,i can,Strongly Agree,i can,Strongly Agree,i can,Strongly Agree,i can,Strongly Agree,i can,Strongly Agree,i can,Strongly Agree,i can,Strongly Agree,i can,Strongly Agree,i can,Strongly Agree,i can,Strongly Agree,i can,Strongly Agree,i can,Strongly Agree,i can,Strongly Agree,i can,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,i can,Strongly Agree,i can,Strongly Agree,i can,Strongly Agree,i can,Strongly Agree,Strongly Agree,Strongly Agree,i can,Strongly Agree,i can,Strongly Agree,Strongly Agree,Strongly Agree,i can,Strongly Agree,-
1,Strongly Agree,i have no problems in log in ,Strongly Agree,i have no problem,Strongly Agree,i have no problem,Strongly Agree,i have no problem,Strongly Agree,i have no problem,Strongly Agree,i have no problem,Strongly Agree,i have no problem,Strongly Agree,i have no problem,Strongly Agree,i have no problem,Strongly Agree,i have no problem,Strongly Agree,i have no problem,Strongly Agree,i have no problem,Strongly Agree,i have no problem,Strongly Agree,i have no problem,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,i have no problem,Strongly Agree,i have no problem,Strongly Agree,i have no problem,Strongly Agree,i have no problem,Strongly Agree,Strongly Agree,Strongly Agree,i have no problem,Strongly Agree,i have no problem,Strongly Agree,Strongly Agree,Strongly Agree,i have no problem,Strongly Agree,i have no problem
2,Strongly Agree,I have no problems with it,Strongly Agree,I have no problems with it ,Strongly Agree,I have no problems with it ,Strongly Agree,I have no problems with it ,Strongly Agree,I have no problems with it,Strongly Agree,I have no problems with it,Strongly Agree,I have no problems with it,Strongly Agree,I have no problems with it,Strongly Agree,I have no problems with it,Strongly Agree,I have no problems with it,Strongly Agree,I have no problems with it,Strongly Agree,I have no problems with it,Strongly Agree,I have no problems with it,Strongly Agree,I have no problems with it,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I have no problems with it,Strongly Agree,I have no problems with it,Strongly Agree,I have no problems with it,Strongly Agree,I have no problems with it,Strongly Agree,Strongly Agree,Strongly Agree,I have no problems with it,Strongly Agree,I have no problems with it,Strongly Agree,Strongly Agree,Strongly Agree,I have no problems with it,Strongly Agree,"Yes, I have no problems with it"
3,Strongly Agree,i dont have problem in my canvas,Strongly Agree,i can easily login my canvas app in my mobile app,Strongly Agree,i can easily login my canvas app in my mobile app,Strongly Agree,I can access my Canvas account using the available computers in JRU,Strongly Agree,i dont have problem in internet connection,Strongly Agree,i dont have problem with it,Strongly Agree,i dont have problem with it,Strongly Agree,i dont have problem with it,Strongly Agree,i dont have problem with it,Strongly Agree,i dont have problem with it,Strongly Agree,i dont have problem with it,Strongly Agree,i dont have problem with it,Strongly Agree,i dont have problem with it,Strongly Agree,i dont have problem with it,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,i dont have problem with it,Strongly Agree,i dont have problem with it,Strongly Agree,i dont have problem with it,Strongly Agree,i dont have problem with it,Strongly Agree,Strongly Agree,Strongly Agree,i dont have problem with it,Strongly Agree,i dont have problem with it,Strongly Agree,Strongly Agree,Strongly Agree,i dont have problem with it,Strongly Agree,i dont have problem with it
4,Strongly Agree,i have no problems,Strongly Agree,i can access my course,Strongly Agree,i can access my course,Strongly Agree,no problem in accessing my canvas,Strongly Agree,dont have issue,Strongly Agree,no problem with ,Strongly Agree,no problem,Strongly Agree,i understand,Strongly Agree,easy to recognize,Strongly Agree,i can manage,Strongly Agree,i can manage,Strongly Agree,i noticed the course material,Strongly Agree,i understand the lesson,Strongly Agree,im interested,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,the course materials helped me,Strongly Agree,yes she teach us how,Strongly Agree,yes she demonstrate,Strongly Agree,she encourage me,Strongly Agree,Strongly Agree,Strongly Agree,i can communicate easy,Strongly Agree,i have no problem with it,Strongly Agree,Strongly Agree,Strongly Agree,i have no problem with it,Strongly Agree,i have no problem with it
5,Strongly Agree,I have no problems in logging-in,Strongly Agree,i have no problems,Strongly Agree,i can do it,Strongly Agree,but sometimes on a trusted device only,Strongly Agree,No problems every thing was fine,Strongly Agree,i can go to IT help Desk,Strongly Agree,Yes of course,Strongly Agree,When im alone,Strongly Agree,every things was fine,Strongly Agree,User friendly,Strongly Agree,User Friendly,Strongly Agree,Yes of course,Strongly Agree,Yes of course ,Strongly Agree,Yah yah yah XD,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes of course ,Strongly Agree,She can navigate it well,Strongly Agree,sometimes ,Strongly Agree,And provoke me to use it ,Strongly Agree,Strongly Agree,Strongly Agree,in just 1 tap,Strongly Agree,Easy to access inside or outside the university,Strongly Agree,Strongly Agree,Strongly Agree,Yes of course ,Strongly Agree,Yes of course 
6,Strongly Agree,I can access it with no problem.,Strongly Agree,I have no problem accessing course in my canvas app,Strongly Agree,I can access it easily with no problems,Strongly Agree,There is no problem in accessing canvas jru computers,Strongly Agree, I have no issue,Strongly Agree,they fixed it immediately when my course in canvas cannot be found,Strongly Agree,I cant easily access it outside jru,Agree,I can undestand it and some are not,Strongly Agree,It is well organized,Strongly Agree,The dashboard is a big help to locate my courses,Strongly Agree,I have no problems,Strongly Agree,I have no problems,Strongly Agree,I can understand it,Strongly Agree,Makes me want to learn more,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Its a big help for me to study,Strongly Agree,The modules are in the canvas,Strongly Agree,I can learn the topic easily,Strongly Agree,Teachers always says study at home because it is the purpose of canvas,Strongly Agree,Strongly Agree,Strongly Agree,We can send messages,Strongly Agree,I have no problem,Strongly Agree,Strongly Agree,Strongly Agree,It helps me prepare for examinations,Strongly Agree,They give a week the deadline of the activity
7,Strongly Agree,Its all good ,Strongly Disagree,I have no application of canvas.   ,Strongly Disagree,it is necessary for you to have a wi-fi or data to open and for me that have no wi-fi.,Strongly Agree,Its all good ,Strongly Agree,"Thats a good thing, all good ",Strongly Agree,"yes, easily and not took too long",Strongly Agree,Definitely yes,Strongly Agree,The lessons are well organized ,Strongly Agree,"Thats what i said, well organized and well managed",Strongly Agree,"yes it is, very fast",Strongly Disagree,I have no applications of canvas due to the need of data or wifi,Strongly Agree,And thats help me so much,Strongly Agree,And through the face to face,Strongly Agree,So much knowledge ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Its help me to raise my hands ,Strongly Agree,Its very important to know,Strongly Agree,its good but sometimes she talked so fast,Strongly Agree,Always ,Strongly Agree,Strongly Agree,Strongly Agree,"Yes, it really helps for us",Strongly Agree,Just because of the modules stated,Strongly Agree,Strongly Agree,Strongly Agree,Yes it is,Strongly Agree,The deadline of every activities are able us to do it before its too late. 
8,Strongly Agree,i dont have problems in logging in,Strongly Agree,i can easily know where is the course given.,Strongly Agree,yes because it supports mobile canvas app,Strongly Agree,yes because computers have higher support system,Strongly Agree,Yes because internet connection is good in laboratories,Strongly Agree,yes because it dept in jru helps us,Strongly Agree,yes as long as you have internet,Strongly Agree,yes because modules are specified,Agree,sometimes yes and sometimes its not,Strongly Agree,yes because its user friendly,Strongly Agree,yes because it indicates where the courses are,Strongly Agree,yes because materials in canvas is what we used in face to face,Strongly Agree,yes because it makes it easy to have soft copy,Strongly Agree,because of its user friendly type,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes because canvas indicates due date each of this and notify me when something is neede to do or something is updated,Strongly Agree,yes because she can use it easily,Strongly Agree,she is very good in teaching it,Strongly Agree,yes because every materials is on canvass,Strongly Agree,Strongly Agree,Strongly Agree,yes because we have different kind of forums that can use,Strongly Agree,yes if it is still open,Strongly Agree,Strongly Agree,Strongly Agree,yes because its all related to my  course,Strongly Agree,sometimes because i know its due date and i can finish it on time
9,Strongly Agree,I have no problems logging In,Strongly Agree,I have no problems accessing my course,Strongly Agree,I have no problems access my course using mobile app,Strongly Agree,I have no problems accessing using canvas app in computer,Strongly Agree,I have no problems with wired connections,Strongly Agree,yes I easily get helped,Strongly Agree,I have no problems accessing canvas outside JRU,Strongly Agree,I have no problems with my lessons on canvas,Strongly Agree,i can easily recognize the modules,Strongly Agree,I have no problems with managing the navigation of the course,Strongly Agree,I have no problems navigate through the mobile app,Strongly Agree,some times it is sometimes its not,Agree,some times,Agree,some times it makes me interested,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,it really help,Strongly Agree,they are experts,Strongly Agree,yes because they are doctors,Strongly Agree,yes they do,Strongly Agree,Strongly Agree,Strongly Agree,yes it makes it easier,Strongly Agree,yes i can,Strongly Agree,Strongly Agree,Strongly Agree,yes I find it aligned ,Strongly Agree,yes I have given enough time 
