index,Numerical Value,Sentiment Score
I can easily log-in and log-out my Canvas account.,3.84,0.14882642857142875
I can access my course using the mobile Canvas app. ,3.68,0.1407435714285715
I can access my Canvas account using the available computers in JRU.,3.83,0.14149928571428574
I can easily get help when I have problems with my Canvas account.,3.52,-0.007862857142857145
I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories.,3.67,0.2446035714285716
I can access my Canvas account outside JRU. ,3.81,0.15510500000000013
I can clearly understand the lessons on my Canvas modules. ,3.61,0.22899000000000025
I recognize that the modules in my course are well organized.,3.78,0.2420350000000001
I can easily manage the navigation of the courses through the desktop version. ,3.82,0.2836021428571429
I can easily manage the navigation of the courses through the mobile app.,3.54,0.21079785714285731
I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,3.61,0.17913500000000018
I understand the lessons better with the help of course materials in Canvas. ,3.66,0.33555214285714263
Canvas course materials make me interested.,3.66,0.3411871428571426
My instructor knows how to use Canvas.,3.84,0.21758357142857168
My instructor demonstrated mastery of the subject matter.,3.76,0.25899000000000016
My instructor encourages me to use Canvas.,3.83,0.2842221428571428
"I can answer the assessment materials (quiz, exam) posted in Canvas.",3.79,0.2157164285714288
I have been give enough time to accomplish the activities on Canvas.,3.57,0.19645142857142872
1st aggregation,3.7525,0.25452571428571424
2nd aggregation,3.686666666666667,0.2860092857142857
3rd aggregation,3.76,0.1809285714285716
Average,3.7215860215053764,0.2191710416666668
