I can easily log-in and log-out my Canvas account. (Please write your views relating your answer above.),I can access my course using the mobile Canvas app. (Please write your views about this relating to your answer above.),I can access my Canvas account using the available computers in JRU. (Please write your views about this relating to your answer above.),I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories. (Please write your views about this relating to your answer above.),I can easily get help when I have problems with my Canvas account. (Please write your views about this relating to your answer above.),I can access my Canvas account outside JRU. (Please write your views about this relating to your answer above.),I can clearly understand the lessons on my Canvas modules. (Please write your views about this relating to your answer above.),I recognize that the modules in my course are well organized. (Please write your views about this relating to your answer above.),I can easily manage the navigation of the courses through the desktop version. .1,I can easily manage the navigation of the courses through the mobile app. (Please write your views about this relating to your answer above.),I notice that course materials on Canvas have connection with the face to face (classroom) lesson content. (Please write your views about this relating to your answer above.),I understand the lessons better with the help of course materials in Canvas. (Please write your views about this relating to your answer above.),Canvas course materials make me interested. (Please write your views about this relating to your answer above.),"The course materials on Canvas helped me prepare for: Face to face discussions, quizzes, major exams, assignments, forums, etc. (Please write your views about this relating to your answer above.)",My instructor knows how to use Canvas. (Please write your views about this relating to your answer above.),My instructor demonstrated mastery of the subject matter. (Please write your views about this relating to your answer above.),My instructor encourages me to use Canvas. (Please write your views about this relating to your answer above.),"Canvas has made it easy for me to: communicate with my instructor, receive class announcements, share ideas on group discussions","I can answer the assessment materials (quiz, exam) posted in Canvas. (Please write your views about this relating to your answer above.)","I find the course materials on Canvas aligned with the: quizzes, major exams, assignments, forums, etc.) (Please write your views about this relating to your answer above.)",I have been give enough time to accomplish the activities on Canvas. (Please write your views about this relating to your answer above.),POS
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('problems', 'NNS'), ('log', 'VBP')]","[('problem', 'NN')]","[('problem', 'NN')]","[('problem', 'NN')]","[('problem', 'NN')]","[('problem', 'NN')]","[('problem', 'NN')]","[('problem', 'NN')]","[('problem', 'NN')]","[('problem', 'NN')]","[('problem', 'NN')]","[('problem', 'NN')]","[('problem', 'NN')]","[('problem', 'NN')]","[('problem', 'NN')]","[('problem', 'NN')]","[('problem', 'NN')]","[('problem', 'NN')]","[('problem', 'NN')]","[('problem', 'NN')]","[('problem', 'NN')]","[('problem', 'NN')]"
"[('problems', 'NNS')]","[('problems', 'NNS')]","[('problems', 'NNS')]","[('problems', 'NNS')]","[('problems', 'NNS')]","[('problems', 'NNS')]","[('problems', 'NNS')]","[('problems', 'NNS')]","[('problems', 'NNS')]","[('problems', 'NNS')]","[('problems', 'NNS')]","[('problems', 'NNS')]","[('problems', 'NNS')]","[('problems', 'NNS')]","[('problems', 'NNS')]","[('problems', 'NNS')]","[('problems', 'NNS')]","[('problems', 'NNS')]","[('problems', 'NNS')]","[('problems', 'NNS')]","[('yes', 'RB'), ('problems', 'NNS')]","[('yes', 'NNS'), ('problem', 'NN')]"
"[('dont', 'NN'), ('problem', 'NN'), ('canvas', 'NN')]","[('easily', 'RB'), ('login', 'VBZ'), ('canvas', 'NN'), ('app', 'NN'), ('mobile', 'JJ'), ('app', 'NN')]","[('access', 'NN'), ('canvas', 'NN'), ('account', 'NN'), ('using', 'VBG'), ('available', 'JJ'), ('computers', 'NNS'), ('jru', 'VBP')]","[('dont', 'NN'), ('problem', 'NN'), ('internet', 'NN'), ('connection', 'NN')]","[('dont', 'NN'), ('problem', 'NN')]","[('dont', 'NN'), ('problem', 'NN')]","[('dont', 'NN'), ('problem', 'NN')]","[('dont', 'NN'), ('problem', 'NN')]","[('dont', 'NN'), ('problem', 'NN')]","[('dont', 'NN'), ('problem', 'NN')]","[('dont', 'NN'), ('problem', 'NN')]","[('dont', 'NN'), ('problem', 'NN')]","[('dont', 'NN'), ('problem', 'NN')]","[('dont', 'NN'), ('problem', 'NN')]","[('dont', 'NN'), ('problem', 'NN')]","[('dont', 'NN'), ('problem', 'NN')]","[('dont', 'NN'), ('problem', 'NN')]","[('dont', 'NN'), ('problem', 'NN')]","[('dont', 'NN'), ('problem', 'NN')]","[('dont', 'NN'), ('problem', 'NN')]","[('dont', 'NN'), ('problem', 'NN')]","[('dont', 'NN'), ('problem', 'NN')]"
"[('problems', 'NNS')]","[('access', 'NN'), ('course', 'NN')]","[('problem', 'NN'), ('accessing', 'VBG'), ('canvas', 'NN')]","[('dont', 'JJ'), ('issue', 'NN')]","[('problem', 'NN')]","[('problem', 'NN')]","[('understand', 'NN')]","[('easy', 'JJ'), ('recognize', 'VB')]","[('manage', 'NN')]","[('manage', 'NN')]","[('noticed', 'JJ'), ('course', 'NN'), ('material', 'NN')]","[('understand', 'NN'), ('lesson', 'NN')]","[('im', 'NN'), ('interested', 'JJ')]","[('course', 'NN'), ('materials', 'NNS'), ('helped', 'VBD')]","[('yes', 'RB'), ('teach', 'VB'), ('us', 'PRP')]","[('yes', 'NNS'), ('demonstrate', 'VBP')]","[('encourage', 'NN')]","[('communicate', 'NN'), ('easy', 'NN')]","[('problem', 'NN')]","[('problem', 'NN')]","[('problem', 'NN')]","[('problem', 'NN')]"
"[('problems', 'NNS'), ('logging', 'VBG')]","[('problems', 'NNS')]","[('sometimes', 'RB'), ('trusted', 'JJ'), ('device', 'NN')]","[('problems', 'NNS'), ('every', 'DT'), ('thing', 'NN'), ('fine', 'NN')]","[('go', 'VB'), ('help', 'NN'), ('desk', 'NN')]","[('yes', 'NNS'), ('course', 'NN')]","[('im', 'NN'), ('alone', 'RB')]","[('every', 'DT'), ('things', 'NNS'), ('fine', 'VBP')]","[('user', 'RB'), ('friendly', 'JJ')]","[('user', 'RB'), ('friendly', 'JJ')]","[('yes', 'NNS'), ('course', 'NN')]","[('yes', 'NNS'), ('course', 'NN')]","[('yah', 'NN'), ('yah', 'NN'), ('yah', 'NN'), ('xd', 'NN')]","[('yes', 'NNS'), ('course', 'NN')]","[('navigate', 'RB'), ('well', 'RB')]","[('sometimes', 'RB')]","[('provoke', 'NN'), ('use', 'NN')]","[('1', 'CD'), ('tap', 'NN')]","[('easy', 'JJ'), ('access', 'NN'), ('inside', 'IN'), ('outside', 'JJ'), ('university', 'NN')]","[('yes', 'NNS'), ('course', 'NN')]","[('yes', 'NNS'), ('course', 'NN')]","[('yes', 'NNS'), ('course', 'NN')]"
"[('access', 'NN'), ('problem', 'NN')]","[('problem', 'NN'), ('accessing', 'VBG'), ('course', 'NN'), ('canvas', 'NN'), ('app', 'NN')]","[('problem', 'NN'), ('accessing', 'VBG'), ('canvas', 'NN'), ('jru', 'NN'), ('computers', 'NNS')]","[('issue', 'NN')]","[('fixed', 'VBN'), ('immediately', 'RB'), ('course', 'NN'), ('canvas', 'NN'), ('can', 'MD'), ('not', 'RB'), ('found', 'VB')]","[('cant', 'JJ'), ('easily', 'RB'), ('access', 'NN'), ('outside', 'IN'), ('jru', 'NN')]","[('undestand', 'NN')]","[('well', 'RB'), ('organized', 'VBN')]","[('dashboard', 'RB'), ('big', 'JJ'), ('help', 'NN'), ('locate', 'NN'), ('courses', 'NNS')]","[('problems', 'NNS')]","[('problems', 'NNS')]","[('understand', 'NN')]","[('makes', 'VBZ'), ('want', 'VBP'), ('learn', 'NN')]","[('big', 'JJ'), ('help', 'NN'), ('study', 'NN')]","[('modules', 'NNS'), ('canvas', 'VBP')]","[('learn', 'NN'), ('topic', 'NN'), ('easily', 'RB')]","[('teachers', 'NNS'), ('always', 'RB'), ('says', 'VBZ'), ('study', 'NN'), ('home', 'NN'), ('purpose', 'NN'), ('canvas', 'NN')]","[('send', 'NN'), ('messages', 'NNS')]","[('problem', 'NN')]","[('helps', 'NNS'), ('prepare', 'VB'), ('examinations', 'NNS')]","[('give', 'VB'), ('week', 'NN'), ('deadline', 'NN'), ('activity', 'NN')]","[('give', 'VB'), ('week', 'NN'), ('deadline', 'NN'), ('activity', 'NN')]"
"[('good', 'JJ')]","[('application', 'NN'), ('canvas', 'NN')]","[('good', 'JJ')]","[('thats', 'NNS'), ('good', 'JJ'), ('thing', 'NN'), ('good', 'JJ')]","[('yes', 'NNS'), ('easily', 'RB'), ('took', 'VBD'), ('long', 'JJ')]","[('definitely', 'RB'), ('yes', 'NNS')]","[('lessons', 'NNS'), ('well', 'RB'), ('organized', 'VBN')]","[('thats', 'NNS'), ('said', 'VBD'), ('well', 'RB'), ('organized', 'VBN'), ('well', 'RB'), ('managed', 'VBN')]","[('yes', 'NNS'), ('fast', 'VBP')]","[('applications', 'NNS'), ('canvas', 'VBP'), ('due', 'JJ'), ('need', 'VBP'), ('data', 'NNS'), ('wifi', 'NNS')]","[('thats', 'NNS'), ('help', 'VBP'), ('much', 'RB')]","[('face', 'NN'), ('face', 'NN')]","[('much', 'JJ'), ('knowledge', 'NN')]","[('help', 'NN'), ('raise', 'VB'), ('hands', 'NNS')]","[('important', 'JJ'), ('know', 'NNS')]","[('good', 'JJ'), ('sometimes', 'RB'), ('talked', 'VBD'), ('fast', 'JJ')]","[('always', 'RB')]","[('yes', 'NNS'), ('really', 'RB'), ('helps', 'VBZ'), ('us', 'PRP')]","[('modules', 'NNS'), ('stated', 'VBD')]","[('yes', 'NNS')]","[('deadline', 'NN'), ('every', 'DT'), ('activities', 'NNS'), ('able', 'JJ'), ('us', 'PRP'), ('late', 'JJ')]","[('deadline', 'NN'), ('every', 'DT'), ('activity', 'NN'), ('able', 'JJ'), ('us', 'PRP'), ('late', 'JJ')]"
"[('dont', 'NN'), ('problems', 'NNS'), ('logging', 'VBG')]","[('easily', 'RB'), ('know', 'VB'), ('course', 'NN'), ('given', 'VBN')]","[('yes', 'UH'), ('computers', 'NNS'), ('higher', 'RBR'), ('support', 'NN'), ('system', 'NN')]","[('yes', 'NNS'), ('internet', 'JJ'), ('connection', 'NN'), ('good', 'JJ'), ('laboratories', 'NNS')]","[('yes', 'RB'), ('dept', 'JJ'), ('jru', 'NN'), ('helps', 'VBZ'), ('us', 'PRP')]","[('yes', 'RB'), ('long', 'RB'), ('internet', 'NN')]","[('yes', 'NNS'), ('modules', 'NNS'), ('specified', 'VBD')]","[('sometimes', 'RB'), ('yes', 'RB'), ('sometimes', 'RB')]","[('yes', 'RB'), ('user', 'RB'), ('friendly', 'JJ')]","[('yes', 'RB'), ('indicates', 'VBZ'), ('courses', 'NNS')]","[('yes', 'NNS'), ('materials', 'NNS'), ('canvas', 'VBP'), ('used', 'VBN'), ('face', 'NN'), ('face', 'NN')]","[('yes', 'RB'), ('makes', 'VBZ'), ('easy', 'JJ'), ('soft', 'JJ'), ('copy', 'NN')]","[('user', 'RB'), ('friendly', 'JJ'), ('type', 'NN')]","[('yes', 'RB'), ('canvas', 'NN'), ('indicates', 'NNS'), ('due', 'JJ'), ('date', 'NN'), ('notify', 'IN'), ('something', 'NN'), ('neede', 'JJ'), ('something', 'NN'), ('updated', 'VBD')]","[('yes', 'NNS'), ('use', 'VBP'), ('easily', 'RB')]","[('good', 'JJ'), ('teaching', 'NN')]","[('yes', 'RB'), ('every', 'DT'), ('materials', 'NNS'), ('canvass', 'NN')]","[('yes', 'RB'), ('different', 'JJ'), ('kind', 'NN'), ('forums', 'NNS'), ('use', 'VBP')]","[('yes', 'NNS'), ('still', 'RB'), ('open', 'VB')]","[('yes', 'RB'), ('related', 'JJ'), ('course', 'NN')]","[('sometimes', 'RB'), ('know', 'VBP'), ('due', 'JJ'), ('date', 'NN'), ('finish', 'JJ'), ('time', 'NN')]","[('sometimes', 'RB'), ('know', 'VBP'), ('due', 'JJ'), ('date', 'NN'), ('finish', 'JJ'), ('time', 'NN')]"
