First,Second,Third
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('easily', 'RB'), ('answer', 'NN'), ('quizzes', 'VBZ'), ('forum', 'NNS'), ('need', 'VBP'), ('answer', 'JJR')]","[('announcement', 'NN'), ('showing', 'VBG'), ('notification', 'NN')]","[('create', 'NN'), ('power', 'NN'), ('point', 'NN'), ('moduel', 'NN'), ('word', 'NN'), ('summary', 'NN'), ('lesson', 'NN'), ('important', 'JJ'), ('details', 'NNS')]"
"[('di', 'NN'), ('home', 'NN')]","[('instructions', 'NNS'), ('fully', 'RB'), ('understandable', 'JJ')]","[('active', 'JJ'), ('face', 'NN'), ('face', 'NN'), ('lessen', 'VBP'), ('works', 'VBZ'), ('canvas', 'NNS'), ('essay', 'VBP'), ('answering', 'VBG'), ('read', 'NN'), ('understand', 'NN'), ('full', 'JJ'), ('would', 'MD'), ('prepare', 'VB'), ('face', 'NN'), ('face', 'NN')]"
"[('give', 'VB'), ('extra', 'JJ'), ('grades', 'NNS'), ('specific', 'JJ'), ('course', 'NN')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('organized', 'VBN'), ('easy', 'JJ'), ('access', 'NN')]","[('time', 'NN'), ('limit', 'NN'), ('many', 'JJ'), ('activities', 'NNS')]","[('longer', 'JJR'), ('time', 'NN'), ('limit', 'NN')]"
"[('study', 'NN'), ('home', 'NN')]","[('always', 'RB'), ('error', 'NN'), ('cause', 'NN'), ('students', 'NNS'), ('can', 'MD'), ('not', 'RB'), ('pass', 'VB'), ('activities', 'NNS'), ('exam', 'VBP'), ('etc', 'FW'), ('attachment', 'JJ'), ('cant', 'NN'), ('sent', 'VBD'), ('forum', 'NN'), ('answered', 'VBD')]","[('suggest', 'NN'), ('would', 'MD'), ('assessment', 'VB'), ('student', 'NN'), ('problem', 'NN'), ('canvass', 'NN'), ('errors', 'NNS'), ('lead', 'VBP'), ('pass', 'NN'), ('activities', 'NNS'), ('cause', 'VBP'), ('affect', 'JJ'), ('grades', 'NNS'), ('hope', 'VBP'), ('error', 'JJ'), ('list', 'NN'), ('assessment', 'NN'), ('resolve', 'VB'), ('fix', 'RB'), ('well', 'RB'), ('future', 'JJ'), ('problems', 'NNS'), ('done', 'VBN')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('like', 'IN'), ('canvas', 'NN'), ('advance', 'NN'), ('reading', 'NN'), ('subject', 'NN')]","[('sometimes', 'RB'), ('pass', 'NN'), ('activity', 'NN'), ('internet', 'NN'), ('connection', 'NN')]","[('suggest', 'NN'), ('use', 'NN'), ('every', 'DT'), ('weekends', 'NNS'), ('exams', 'VBP')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('even', 'RB'), ('difficult', 'JJ'), ('school', 'NN'), ('work', 'NN'), ('area', 'NN'), ('even', 'RB'), ('home', 'NN')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
"[('neutral', 'JJ')]","[('neutral', 'JJ')]","[('neutral', 'JJ')]"
