,Timestamp,I can easily log-in and log-out my Canvas account.,I can easily log-in and log-out my Canvas account. (Please write your views relating your answer above.),I can access my course using the mobile Canvas app. ,I can access my course using the mobile Canvas app. (Please write your views about this relating to your answer above.),I can access my course using the mobile Canvas app. ,I can access my course using the mobile Canvas app. (Please write your views about this relating to your answer above.),I can access my Canvas account using the available computers in JRU.,I can access my Canvas account using the available computers in JRU. (Please write your views about this relating to your answer above.),I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories. ,I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories. (Please write your views about this relating to your answer above.),I can easily get help when I have problems with my Canvas account.,I can easily get help when I have problems with my Canvas account. (Please write your views about this relating to your answer above.),I can access my Canvas account outside JRU. ,I can access my Canvas account outside JRU. (Please write your views about this relating to your answer above.),I can clearly understand the lessons on my Canvas modules. ,I can clearly understand the lessons on my Canvas modules. (Please write your views about this relating to your answer above.),I recognize that the modules in my course are well organized.,I recognize that the modules in my course are well organized. (Please write your views about this relating to your answer above.),I can easily manage the navigation of the courses through the desktop version. ,I can easily manage the navigation of the courses through the desktop version. ,I can easily manage the navigation of the courses through the mobile app.,I can easily manage the navigation of the courses through the mobile app. (Please write your views about this relating to your answer above.),I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content. (Please write your views about this relating to your answer above.),I understand the lessons better with the help of course materials in Canvas. ,I understand the lessons better with the help of course materials in Canvas. (Please write your views about this relating to your answer above.),Canvas course materials make me interested.,Canvas course materials make me interested. (Please write your views about this relating to your answer above.),The course materials on Canvas helped me prepare for: [Face to Face discussions],The course materials on Canvas helped me prepare for: [Quizzes],The course materials on Canvas helped me prepare for: [Prelim/Mid-term/Final Exam],"The course materials on Canvas helped me prepare for: [Other Tasks (Assignments, Forums, etc.)]","The course materials on Canvas helped me prepare for: Face to face discussions, quizzes, major exams, assignments, forums, etc. (Please write your views about this relating to your answer above.)",My instructor knows how to use Canvas.,My instructor knows how to use Canvas. (Please write your views about this relating to your answer above.),My instructor demonstrated mastery of the subject matter.,My instructor demonstrated mastery of the subject matter. (Please write your views about this relating to your answer above.),My instructor encourages me to use Canvas.,My instructor encourages me to use Canvas. (Please write your views about this relating to your answer above.),Canvas has made it easy for me to: [Communicate with my instructor],Canvas has made it easy for me to: [Receive class announcements],Canvas has made it easy for me to: [Share ideas on group discussions],"Canvas has made it easy for me to: communicate with my instructor, receive class announcements, share ideas on group discussions","I can answer the assessment materials (quiz, exam) posted in Canvas.","I can answer the assessment materials (quiz, exam) posted in Canvas. (Please write your views about this relating to your answer above.)",I find the course materials on Canvas aligned with the: [Quizzes],"I find the course materials on Canvas aligned with the: [Major (Prelim, Mideterm, Final) Exam]","I find the course materials on Canvas aligned with the: [Other tasks (Assignements, Forums, etc.)]","I find the course materials on Canvas aligned with the: quizzes, major exams, assignments, forums, etc.) (Please write your views about this relating to your answer above.)",I have been give enough time to accomplish the activities on Canvas.,I have been give enough time to accomplish the activities on Canvas. (Please write your views about this relating to your answer above.),What I like best in Canvas is/are:,What I like least in Canvas is/are:,I would like to suggest: 
1,2019/10/01 4:55:12 PM GMT+8,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes,yes,yes,yes
2,2019/10/01 4:57:48 PM GMT+8,Agree,Yes,Agree,Yes,Agree,Yes,Agree,Yes,Agree,Yes,Agree,Yes,Agree,Yes,Agree,Yes,Agree,Yes,Agree,Yes,Agree,Yes,Agree,Yes,Agree,Yes,Agree,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Strongly Agree,Yes,Updated,Easy to use,Games
3,2019/10/01 4:57:57 PM GMT+8,Strongly Agree,yes i strongly agree,Strongly Agree,i strongly agree,Strongly Agree,i strongly agree,Strongly Agree,i can use canvas in available computers in jru,Strongly Agree,i have no issues when using a wired internet connection,Strongly Agree,i can easily get help ,Strongly Agree, i can access my canvas anywhere it is good,Strongly Agree,i understand the lessons cleary because of having canvas too,Strongly Agree,i recognized modules very well,Strongly Agree,i can easily manage it is great,Strongly Agree,i can easily manage my courses even in the mobile app it is good,Strongly Agree,yes it has,Strongly Agree,yes with the help of canvas,Strongly Agree,yes it is fun,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes it helped me,Strongly Agree,yes she knows,Strongly Agree,yes she demonstrated,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,yes it made it easy for me,Strongly Agree,yes i can answer,Strongly Agree,Strongly Agree,Strongly Agree,i find the course material aligned with the quiz,Strongly Agree,i had given enough time to accomplish the actvities,it made my learning easier,nothing i truly like canvas,nothing canvas is great
4,2019/10/01 5:00:18 PM GMT+8,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,agree,Agree,agree,Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,sometimes,Agree,yes,Agree,minsan hindi,Agree,minsan lng,Disagree,Agree,Disagree,hindi sumasagot prof sa canvas,Agree,minsan hindi masagutan kasi walang binibigay or mali code,Disagree,Agree,Disagree,minsan wala sa module yung nasa quizzes,Agree,yes,accessibility,none,none
5,2019/10/01 5:03:22 PM GMT+8,Strongly Agree,I have no issues about it,Strongly Agree,I have no issues about it,Strongly Agree,I have no issues about it,Strongly Agree,I have no issues about it,Strongly Agree,I have no issues about it,Strongly Agree,I have no issues about it,Strongly Agree,I have no issues about it,Strongly Agree,I have no issues about it,Strongly Agree,I have no issues about it,Strongly Agree,I have no issues about it,Strongly Agree,I have no issues about it,Strongly Agree,Always,Strongly Agree,I can review the module at home,Strongly Agree,I can review the lessons at home,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I have no issues about it,Strongly Agree,Strongly Agree,Strongly Agree,I have no issues about it,Strongly Agree,Always,Strongly Disagree,Strongly Agree,Strongly Disagree,"professor dont talk with students, but it is useful in getting announcements",Strongly Agree,I have no issues about it,Strongly Agree,Strongly Agree,Strongly Agree,I have no issues about it,Strongly Agree,I have no issues about it,I can review the lessons anytime,they dont give the answers after quiz has locked.,give out the answers when the quiz/exam locked so we can review where we got it wrong .
6,2019/10/01 5:04:26 PM GMT+8,Strongly Agree,yes.,Strongly Agree,I can access it.,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,yes,Strongly Agree,yes,yes,yes,yes
7,2019/10/01 5:04:47 PM GMT+8,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Its easy to navigate,All the lectures was put in there,none
8,2019/10/01 5:05:00 PM GMT+8,Agree,sometimes but there's a time that we need to access our security like verification code. What if our phone is not carrying,Agree,yes,Agree,yes,Agree,yes,Agree,yes,Agree,yes i can easily contact.,Agree,sometimes but they have a verification code,Agree,yes but sometimes the module is not public or publish,Agree,yes i recognized it,Agree,yes i can easily manage,Agree,yes,Agree,yes it really help us,Agree,yes it help us,Agree,yes,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"yes we didnt need to submit our papers in personal like we find or we go to faculty, just submit it in canvas",Agree,yes,Agree,yes,Agree,yes,Strongly Agree,Strongly Agree,Strongly Agree,yes we received,Agree,yes,Agree,Strongly Agree,Agree,yes,Agree,yes,its very accessible and its very easy to use,like i used canvas in taking a quiz and submit my papers or assignment,nothing 
9,2019/10/01 5:05:06 PM GMT+8,Strongly Agree,because i can access easily,Strongly Agree,yes,Strongly Agree,Yes,Strongly Agree,Yes,Strongly Agree,yes,Strongly Agree,yes when i need help about my canvas account,Strongly Agree,Yes I can access my canvas account anywhere,Strongly Agree,Yes because it is all well Organized,Strongly Agree,Yes it is well organized,Strongly Agree,Yes it can easily manage,Strongly Agree,it is easily manage like the desktop version,Strongly Agree,Yes the course material in canvas was teached in our face to face,Strongly Agree,Yes i understand it better ,Strongly Agree,Yes because i can advance study,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes because i can study in home,Strongly Agree,Yes she knows how to use canvas,Strongly Agree,She can demonstrated mastery of the subject matter ,Strongly Agree,Yes she always use encourages mo to use Canvas to pass may laboratory activities or quizzes,Strongly Agree,Strongly Agree,Strongly Agree,Yes it is easily to communicate with my instructor or with my classmates,Strongly Agree,Yes i can easily answer the assessment materials posted in canvas,Strongly Agree,Strongly Agree,Strongly Agree,Yes it is well organized in the dashboard,Strongly Agree,Yes it gives me enough time,it is easily accessable,It can be used anywhere,i have no any suggestion
10,2019/10/01 5:05:36 PM GMT+8,Strongly Agree,I dont have problems logging in,Strongly Agree,I dont have problems  accessing my course,Strongly Agree,I dont have problems  accessing my course,Strongly Agree,I dont have problems  accessing my canvas account using computer,Strongly Agree,I dont have problems  accessing my canvas account using connection in the computer laboratories,Strongly Agree,I dont have problems  getting help,Strongly Agree,I dont have problems  accessing my canvas account outside jru,Strongly Agree,I dont have problems  understanding lessons on canvas,Strongly Agree,I dont have problems  recognizing my modules,Strongly Agree,I dont have problems managing the desktop version,Strongly Agree,I dont have problems managing the mobile version,Strongly Agree,yes i notice it too,Strongly Agree,I dont have problems understanding the lesson,Strongly Agree,yes of course it makes me interested,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I dont have problems  preparing ,Strongly Agree,I dont have problems with my instructor canvas mastery,Strongly Agree,I dont have problems with my instructor canvas mastery,Strongly Agree,I dont have problems with my instructor canvas mastery,Strongly Agree,Strongly Agree,Strongly Agree,I dont have problems with my canvas mastery,Strongly Agree,I dont have problems with my canvas mastery,Strongly Agree,Strongly Agree,Strongly Agree,I dont have problems with my canvas mastery,Strongly Agree,I dont have problems with time to accomplish,the love it brings to my heart and soul,the sadness it gives in my mind,peace and prosperity
