Negative, Neutral, Positive, Compound
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.633, 0.367, 0.4404
 0.0, 1.0, 0.0, 0.0
 0.0, 0.707, 0.293, 0.4404
 0.223, 0.589, 0.188, 0.2173
 0.546, 0.454, 0.0, -0.3412
 0.0, 0.58, 0.42, 0.4404
 0.0, 0.513, 0.487, 0.4215
 0.0, 0.664, 0.336, 0.796
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.445, 0.555, 0.0, -0.3412
 0.0, 0.256, 0.744, 0.4404
 0.0, 0.841, 0.159, 0.5267
 0.0, 1.0, 0.0, 0.0
 0.0, 1.0, 0.0, 0.0
 0.0, 0.0, 1.0, 0.4404
 0.0, 1.0, 0.0, 0.0
 0.0, 0.759, 0.241, 0.6597
 0.068, 0.494, 0.438, 0.9186
 0.14, 0.86, 0.0, -0.4767
 0.0, 1.0, 0.0, 0.0
 0.0, 0.444, 0.556, 0.3612
 0.0, 0.622, 0.378, 0.8901
 0.0, 0.645, 0.355, 0.5106
 0.0, 0.548, 0.452, 0.5106
 0.0, 0.256, 0.744, 0.4404
 0.0, 0.427, 0.573, 0.7717
 0.0, 1.0, 0.0, 0.0
 0.608, 0.392, 0.0, -0.4767
 0.0, 1.0, 0.0, 0.0
 0.0, 0.408, 0.592, 0.4404
 0.0, 0.785, 0.215, 0.8655
 0.0, 0.756, 0.244, 0.4404
 0.0, 0.879, 0.121, 0.7717
 0.052, 0.948, 0.0, -0.4831
 0.048, 0.902, 0.051, 0.0382
 0.08, 0.842, 0.078, -0.0139
 0.0, 0.0, 1.0, 0.5719
 0.0, 0.0, 0.0, 0.0
