Negative, Neutral, Positive, Compound
 0.0, 0.85, 0.15, 0.6059
 0.0, 0.708, 0.292, 0.5106
 0.061, 0.823, 0.117, 0.3167
 0.047, 0.792, 0.161, 0.5994
 0.036, 0.89, 0.074, 0.4404
 0.0, 0.675, 0.325, 0.6478
 0.278, 0.425, 0.297, 0.0356
 0.0, 0.459, 0.541, 0.7096
 0.0, 0.583, 0.417, 0.8225
 0.0, 1.0, 0.0, 0.0
 0.0, 0.867, 0.133, 0.6204
 0.0, 0.618, 0.382, 0.7345
 0.0, 0.71, 0.29, 0.8481
 0.0, 0.556, 0.444, 0.4926
 0.0, 0.659, 0.341, 0.8313
 0.0, 0.902, 0.098, 0.3612
 0.0, 1.0, 0.0, 0.0
 0.0, 0.387, 0.613, 0.8779
 0.0, 0.643, 0.357, 0.875
 0.0, 0.606, 0.394, 0.8439
 0.0, 0.444, 0.556, 0.3612
 0.0, 0.704, 0.296, 0.2732
 0.0, 0.645, 0.355, 0.5106
 0.0, 0.572, 0.428, 0.4576
 0.0, 0.0, 1.0, 0.5267
 0.0, 1.0, 0.0, 0.0
 0.0, 0.0, 1.0, 0.4404
 0.0, 0.213, 0.787, 0.5719
 0.0, 0.619, 0.381, 0.5719
 0.0, 0.809, 0.191, 0.3804
 0.0, 0.617, 0.383, 0.4767
 0.0, 0.455, 0.545, 0.5859
